Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Riggers;"=""49-9096""";Line Item;4.6;0.0;18.8;4.7;0.0;18.7;0.2;4.0;903.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--installation, maintenance, and repair workers;"=""49-9098""";Line Item;6.0;0.0;5.7;6.1;0.0;5.6;0.2;2.6;905.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Installation, maintenance, and repair workers, all other;"=""49-9099""";Line Item;24.1;0.2;12.0;24.7;0.2;11.8;0.6;2.5;906.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Production occupations;"=""51-0000""";Summary;6,307.2;48.7;69.4;6,208.9;47.6;69.0;-98.4;-1.6;907.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of production workers;"=""51-1000""";Summary;492.4;3.8;71.3;500.0;3.8;71.9;7.6;1.5;908.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of production and operating workers;"=""51-1011""";Line Item;492.4;3.8;71.3;500.0;3.8;71.9;7.6;1.5;909.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Assemblers and fabricators;"=""51-2000""";Summary;1,515.4;11.7;77.1;1,507.3;11.6;76.6;-8.1;-0.5;910.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Aircraft structure, surfaces, rigging, and systems assemblers;"=""51-2011""";Line Item;26.7;0.2;85.1;21.9;0.2;83.5;-4.8;-18.0;911.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical, electronics, and electromechanical assemblers;"=""51-2020""";Summary;249.7;1.9;88.2;266.3;2.0;88.3;16.6;6.6;912.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Coil winders, tapers, and finishers;"=""51-2021""";Line Item;11.0;0.1;90.9;9.9;0.1;90.8;-1.0;-9.3;913.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;"=""51-2028""";Line Item;238.8;1.8;88.1;256.4;2.0;88.2;17.6;7.4;914.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Engine and other machine assemblers;"=""51-2031""";Line Item;46.2;0.4;94.2;35.9;0.3;93.1;-10.2;-22.2;915.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Structural metal fabricators and fitters;"=""51-2041""";Line Item;47.4;0.4;79.9;39.8;0.3;79.1;-7.7;-16.2;916.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fiberglass laminators and fabricators;"=""51-2051""";Line Item;18.8;0.1;90.1;19.7;0.2;90.3;0.9;4.8;917.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Timing device assemblers and adjusters;"=""51-2061""";Line Item;0.4;0.0;88.0;0.3;0.0;88.2;-0.1;-16.1;918.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous assemblers and fabricators;"=""51-2090""";Line Item;1,126.1;8.7;74.0;1,123.4;8.6;73.5;-2.8;-0.2;919.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Food processing workers;"=""51-3000""";Summary;489.7;3.8;55.3;524.0;4.0;56.9;34.2;7.0;920.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Bakers;"=""51-3011""";Line Item;76.0;0.6;31.2;82.5;0.6;32.2;6.5;8.5;921.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Butchers and other meat, poultry, and fish processing workers;"=""51-3020""";Summary;189.8;1.5;53.8;198.9;1.5;55.6;9.1;4.8;922.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Butchers and meat cutters;"=""51-3021""";Line Item;12.1;0.1;8.7;12.9;0.1;9.5;0.9;7.1;923.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Meat, poultry, and fish cutters and trimmers;"=""51-3022""";Line Item;110.8;0.9;78.5;118.0;0.9;79.9;7.1;6.4;924.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Slaughterers and meat packers;"=""51-3023""";Line Item;66.9;0.5;91.9;68.0;0.5;92.1;1.1;1.7;925.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous food processing workers;"=""51-3090""";Summary;223.9;1.7;77.6;242.5;1.9;78.9;18.6;8.3;926.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Food and tobacco roasting, baking, and drying machine operators and tenders;"=""51-3091""";Line Item;15.9;0.1;81.2;16.2;0.1;81.0;0.3;2.0;927.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food batchmakers;"=""51-3092""";Line Item;141.9;1.1;82.8;156.5;1.2;83.8;14.6;10.3;928.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food cooking machine operators and tenders;"=""51-3093""";Line Item;23.7;0.2;77.2;24.1;0.2;77.7;0.4;1.8;929.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food processing workers, all other;"=""51-3099""";Line Item;42.4;0.3;63.5;45.7;0.4;65.5;3.2;7.6;930.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Metal workers and plastic workers;"=""51-4000""";Summary;1,327.3;10.3;80.1;1,278.4;9.8;79.3;-48.9;-3.7;931.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Forming machine setters, operators, and tenders, metal and plastic;"=""51-4020""";Summary;93.1;0.7;94.6;91.2;0.7;94.7;-1.9;-2.0;932.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Extruding and drawing machine setters, operators, and tenders, metal and plastic;"=""51-4021""";Line Item;61.1;0.5;95.3;62.4;0.5;95.5;1.3;2.2;933.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Forging machine setters, operators, and tenders, metal and plastic;"=""51-4022""";Line Item;8.5;0.1;90.6;7.1;0.1;90.3;-1.4;-16.0;934.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Rolling machine setters, operators, and tenders, metal and plastic;"=""51-4023""";Line Item;23.5;0.2;94.0;21.7;0.2;93.9;-1.8;-7.9;935.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Machine tool cutting setters, operators, and tenders, metal and plastic;"=""51-4030""";Summary;268.7;2.1;90.4;237.1;1.8;90.0;-31.6;-11.8;936.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;"=""51-4031""";Line Item;161.5;1.2;89.1;142.5;1.1;88.5;-19.0;-11.8;937.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;"=""51-4032""";Line Item;5.0;0.0;85.9;4.0;0.0;85.4;-1.0;-19.7;938.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;"=""51-4033""";Line Item;71.9;0.6;94.3;64.0;0.5;94.0;-7.9;-11.0;939.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Lathe and turning machine tool setters, operators, and tenders, metal and plastic;"=""51-4034""";Line Item;19.0;0.1;96.2;16.8;0.1;96.0;-2.2;-11.6;940.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Milling and planing machine setters, operators, and tenders, metal and plastic;"=""51-4035""";Line Item;11.2;0.1;79.8;9.7;0.1;79.3;-1.5;-13.4;941.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Machinists;"=""51-4041""";Line Item;243.7;1.9;81.8;246.7;1.9;81.4;2.9;1.2;942.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Metal furnace operators, tenders, pourers, and casters;"=""51-4050""";Summary;25.0;0.2;92.6;23.9;0.2;93.3;-1.1;-4.5;943.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Metal-refining furnace operators and tenders;"=""51-4051""";Line Item;19.7;0.2;92.2;18.9;0.1;92.8;-0.8;-4.2;944.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Pourers and casters, metal;"=""51-4052""";Line Item;5.3;0.0;94.4;5.0;0.0;95.2;-0.3;-5.9;945.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Model makers and patternmakers, metal and plastic;"=""51-4060""";Summary;4.2;0.0;83.2;3.3;0.0;82.3;-0.9;-20.4;946.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Model makers, metal and plastic;"=""51-4061""";Line Item;2.1;0.0;73.2;1.7;0.0;72.4;-0.4;-18.5;947.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Patternmakers, metal and plastic;"=""51-4062""";Line Item;2.1;0.0;96.4;1.6;0.0;96.1;-0.5;-22.4;948.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Molders and molding machine setters, operators, and tenders, metal and plastic;"=""51-4070""";Summary;153.5;1.2;89.9;147.1;1.1;89.8;-6.4;-4.2;949.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Foundry mold and coremakers;"=""51-4071""";Line Item;11.5;0.1;97.6;8.7;0.1;97.4;-2.9;-24.8;950.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;"=""51-4072""";Line Item;142.0;1.1;89.4;138.4;1.1;89.4;-3.5;-2.5;951.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Multiple machine tool setters, operators, and tenders, metal and plastic;"=""51-4081""";Line Item;100.6;0.8;77.4;101.6;0.8;76.8;1.0;1.0;952.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Tool and die makers;"=""51-4111""";Line Item;56.2;0.4;95.1;50.3;0.4;94.3;-5.9;-10.4;953.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Welding, soldering, and brazing workers;"=""51-4120""";Summary;313.4;2.4;63.9;315.1;2.4;63.5;1.7;0.6;954.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Welders, cutters, solderers, and brazers;"=""51-4121""";Line Item;283.8;2.2;62.4;288.4;2.2;62.2;4.6;1.6;955.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Welding, soldering, and brazing machine setters, operators, and tenders;"=""51-4122""";Line Item;29.6;0.2;83.1;26.7;0.2;82.3;-2.9;-9.7;956.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous metal workers and plastic workers;"=""51-4190""";Summary;69.0;0.5;84.2;62.1;0.5;83.1;-6.9;-10.0;957.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Heat treating equipment setters, operators, and tenders, metal and plastic;"=""51-4191""";Line Item;14.0;0.1;92.2;12.6;0.1;91.4;-1.4;-10.3;958.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Layout workers, metal and plastic;"=""51-4192""";Line Item;5.2;0.0;75.4;4.9;0.0;73.8;-0.3;-5.5;959.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Plating machine setters, operators, and tenders, metal and plastic;"=""51-4193""";Line Item;30.7;0.2;94.8;27.1;0.2;94.0;-3.6;-11.8;960.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tool grinders, filers, and sharpeners;"=""51-4194""";Line Item;4.9;0.0;71.6;4.3;0.0;69.0;-0.5;-11.2;961.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Metal workers and plastic workers, all other;"=""51-4199""";Line Item;14.2;0.1;68.8;13.2;0.1;68.8;-1.0;-7.0;962.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Printing workers;"=""51-5100""";Summary;163.2;1.3;75.0;137.8;1.1;71.8;-25.4;-15.6;963.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Prepress technicians and workers;"=""51-5111""";Line Item;18.2;0.1;78.0;13.9;0.1;73.2;-4.3;-23.5;964.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Printing press operators;"=""51-5112""";Line Item;112.5;0.9;72.0;98.1;0.8;69.4;-14.4;-12.8;965.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Print binding and finishing workers;"=""51-5113""";Line Item;32.5;0.3;85.2;25.8;0.2;82.0;-6.7;-20.6;966.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Textile, apparel, and furnishings workers;"=""51-6000""";Summary;197.0;1.5;37.8;172.7;1.3;34.7;-24.3;-12.3;967.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Laundry and dry-cleaning workers;"=""51-6011""";Line Item;0.5;0.0;0.3;0.5;0.0;0.2;0.0;-3.4;968.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Pressers, textile, garment, and related materials;"=""51-6021""";Line Item;1.7;0.0;5.8;1.4;0.0;5.4;-0.3;-17.6;969.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Sewing machine operators;"=""51-6031""";Line Item;86.3;0.7;67.1;72.6;0.6;64.9;-13.8;-16.0;970.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Shoe and leather workers;"=""51-6040""";Summary;10.1;0.1;65.1;9.1;0.1;67.1;-1.0;-9.9;971.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Shoe and leather workers and repairers;"=""51-6041""";Line Item;5.4;0.0;57.8;4.9;0.0;59.0;-0.5;-10.0;972.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Shoe machine operators and tenders;"=""51-6042""";Line Item;4.6;0.0;76.4;4.2;0.0;79.8;-0.5;-9.8;973.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tailors, dressmakers, and sewers;"=""51-6050""";Summary;3.6;0.0;11.9;2.9;0.0;10.4;-0.7;-19.4;974.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Sewers, hand;"=""51-6051""";Line Item;1.9;0.0;34.0;1.5;0.0;31.4;-0.4;-19.0;975.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tailors, dressmakers, and custom sewers;"=""51-6052""";Line Item;1.7;0.0;6.9;1.4;0.0;5.9;-0.3;-19.8;976.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Textile machine setters, operators, and tenders;"=""51-6060""";Summary;53.4;0.4;93.3;47.5;0.4;92.7;-5.8;-10.9;977.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Textile bleaching and dyeing machine operators and tenders;"=""51-6061""";Line Item;6.6;0.1;96.6;5.9;0.0;96.5;-0.7;-10.4;978.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Textile cutting machine setters, operators, and tenders;"=""51-6062""";Line Item;8.0;0.1;81.0;6.8;0.1;78.2;-1.2;-14.8;979.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Textile knitting and weaving machine setters, operators, and tenders;"=""51-6063""";Line Item;15.5;0.1;95.0;13.6;0.1;94.5;-1.9;-12.3;980.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Textile winding, twisting, and drawing out machine setters, operators, and tenders;"=""51-6064""";Line Item;23.2;0.2;96.2;21.1;0.2;96.1;-2.1;-8.9;981.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous textile, apparel, and furnishings workers;"=""51-6090""";Summary;41.3;0.3;64.4;38.7;0.3;63.1;-2.7;-6.5;982.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers;"=""51-6091""";Line Item;14.2;0.1;94.0;13.9;0.1;95.0;-0.3;-2.1;983.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Fabric and apparel patternmakers;"=""51-6092""";Line Item;1.7;0.0;61.0;1.4;0.0;56.5;-0.3;-18.2;984.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Upholsterers;"=""51-6093""";Line Item;15.6;0.1;50.9;15.0;0.1;49.7;-0.7;-4.3;985.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Textile, apparel, and furnishings workers, all other;"=""51-6099""";Line Item;9.8;0.1;62.9;8.4;0.1;59.7;-1.4;-14.2;986.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Woodworkers;"=""51-7000""";Summary;180.4;1.4;74.9;175.8;1.3;75.2;-4.6;-2.5;987.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Cabinetmakers and bench carpenters;"=""51-7011""";Line Item;72.1;0.6;72.3;69.7;0.5;71.9;-2.3;-3.3;988.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Furniture finishers;"=""51-7021""";Line Item;9.9;0.1;54.3;9.5;0.1;53.0;-0.4;-3.9;989.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Model makers and patternmakers, wood;"=""51-7030""";Summary;0.5;0.0;31.6;0.5;0.0;36.3;0.0;-0.2;990.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Model makers, wood;"=""51-7031""";Line Item;0.3;0.0;29.6;0.3;0.0;34.0;0.0;0.2;991.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Patternmakers, wood;"=""51-7032""";Line Item;0.2;0.0;36.1;0.2;0.0;41.4;0.0;-0.9;992.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Woodworking machine setters, operators, and tenders;"=""51-7040""";Summary;92.2;0.7;86.9;90.4;0.7;86.4;-1.9;-2.0;993.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Sawing machine setters, operators, and tenders, wood;"=""51-7041""";Line Item;36.5;0.3;80.1;36.1;0.3;79.6;-0.4;-1.1;994.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Woodworking machine setters, operators, and tenders, except sawing;"=""51-7042""";Line Item;55.7;0.4;92.1;54.3;0.4;91.6;-1.4;-2.6;995.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Woodworkers, all other;"=""51-7099""";Line Item;5.7;0.0;37.6;5.7;0.0;43.6;0.0;0.2;996.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Plant and system operators;"=""51-8000""";Summary;53.5;0.4;18.4;51.5;0.4;18.4;-2.0;-3.8;997.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Power plant operators, distributors, and dispatchers;"=""51-8010""";Summary;0.9;0.0;1.9;0.8;0.0;1.9;-0.1;-11.3;998.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Power plant operators;"=""51-8013""";Line Item;0.9;0.0;2.7;0.8;0.0;2.7;-0.1;-11.1;1001.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Stationary engineers and boiler operators;"=""51-8021""";Line Item;5.8;0.0;16.4;5.7;0.0;15.4;-0.1;-2.3;1002.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Water and wastewater treatment plant and system operators;"=""51-8031""";Line Item;5.1;0.0;4.1;4.7;0.0;4.0;-0.4;-8.0;1003.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous plant and system operators;"=""51-8090""";Summary;41.7;0.3;49.7;40.3;0.3;49.2;-1.4;-3.3;1004.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Chemical plant and system operators;"=""51-8091""";Line Item;17.0;0.1;92.4;16.8;0.1;92.0;-0.2;-1.2;1005.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Gas plant operators;"=""51-8092""";Line Item;1.1;0.0;6.8;1.0;0.0;6.7;-0.1;-10.5;1006.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Petroleum pump system operators, refinery operators, and gaugers;"=""51-8093""";Line Item;17.4;0.1;51.7;16.2;0.1;49.2;-1.2;-7.0;1007.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Plant and system operators, all other;"=""51-8099""";Line Item;6.2;0.0;39.4;6.4;0.0;39.1;0.2;2.6;1008.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Other production occupations;"=""51-9000""";Summary;1,888.3;14.6;71.9;1,861.5;14.3;71.6;-26.9;-1.4;1009.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Chemical processing machine setters, operators, and tenders;"=""51-9010""";Summary;162.6;1.3;92.7;156.1;1.2;92.0;-6.5;-4.0;1010.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Chemical equipment operators and tenders;"=""51-9011""";Line Item;119.0;0.9;97.6;112.2;0.9;97.3;-6.7;-5.6;1011.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders;"=""51-9012""";Line Item;43.6;0.3;81.6;43.8;0.3;80.6;0.2;0.5;1012.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Crushing, grinding, polishing, mixing, and blending workers;"=""51-9020""";Summary;111.6;0.9;76.0;111.5;0.9;74.8;-0.1;-0.1;1013.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Crushing, grinding, and polishing machine setters, operators, and tenders;"=""51-9021""";Line Item;16.5;0.1;62.1;16.0;0.1;60.8;-0.5;-3.1;1014.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Grinding and polishing workers, hand;"=""51-9022""";Line Item;9.6;0.1;76.5;7.7;0.1;74.5;-1.9;-19.9;1015.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Mixing and blending machine setters, operators, and tenders;"=""51-9023""";Line Item;85.5;0.7;79.4;87.8;0.7;78.1;2.3;2.7;1016.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cutting workers;"=""51-9030""";Summary;49.0;0.4;82.6;46.2;0.4;81.4;-2.9;-5.8;1017.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cutters and trimmers, hand;"=""51-9031""";Line Item;5.7;0.0;82.9;4.6;0.0;81.7;-1.1;-19.6;1018.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cutting and slicing machine setters, operators, and tenders;"=""51-9032""";Line Item;43.3;0.3;82.6;41.6;0.3;81.4;-1.7;-4.0;1019.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Extruding, forming, pressing, and compacting machine setters, operators, and tenders;"=""51-9041""";Line Item;53.9;0.4;94.2;55.3;0.4;94.1;1.4;2.6;1020.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Furnace, kiln, oven, drier, and kettle operators and tenders;"=""51-9051""";Line Item;12.5;0.1;82.4;12.9;0.1;82.8;0.3;2.5;1021.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Inspectors, testers, sorters, samplers, and weighers;"=""51-9061""";Line Item;383.0;3.0;64.3;373.0;2.9;64.6;-10.0;-2.6;1022.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Jewelers and precious stone and metal workers;"=""51-9071""";Line Item;6.8;0.1;14.7;5.5;0.0;12.4;-1.3;-18.6;1023.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Dental and ophthalmic laboratory technicians and medical appliance technicians;"=""51-9080""";Summary;44.4;0.3;66.2;43.6;0.3;65.7;-0.8;-1.8;1024.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Dental laboratory technicians;"=""51-9081""";Line Item;28.8;0.2;81.8;27.7;0.2;82.4;-1.0;-3.5;1025.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical appliance technicians;"=""51-9082""";Line Item;7.7;0.1;59.4;7.9;0.1;59.0;0.2;3.2;1026.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Ophthalmic laboratory technicians;"=""51-9083""";Line Item;7.9;0.1;42.0;7.9;0.1;41.1;0.0;-0.4;1027.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Packaging and filling machine operators and tenders;"=""51-9111""";Line Item;293.2;2.3;79.7;314.2;2.4;80.0;21.0;7.2;1028.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Painting workers;"=""51-9120""";Summary;115.6;0.9;64.4;115.9;0.9;63.8;0.3;0.3;1029.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Painting, coating, and decorating workers;"=""51-9123""";Line Item;7.2;0.1;62.7;7.2;0.1;62.3;0.1;0.7;1030.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Coating, painting, and spraying machine setters, operators, and tenders;"=""51-9124""";Line Item;108.4;0.8;64.5;108.7;0.8;64.0;0.3;0.3;1031.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Semiconductor processing technicians;"=""51-9141""";Line Item;25.7;0.2;96.7;29.1;0.2;96.8;3.4;13.1;1032.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Photographic process workers and processing machine operators;"=""51-9151""";Line Item;0.3;0.0;3.7;0.3;0.0;3.4;0.0;-6.4;1033.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer numerically controlled tool operators and programmers;"=""51-9160""";Summary;201.2;1.6;92.2;187.9;1.4;91.7;-13.3;-6.6;1034.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Computer numerically controlled tool operators;"=""51-9161""";Line Item;176.0;1.4;92.7;159.1;1.2;92.3;-16.9;-9.6;1035.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Computer numerically controlled tool programmers;"=""51-9162""";Line Item;25.2;0.2;88.9;28.8;0.2;88.6;3.6;14.5;1036.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous production workers;"=""51-9190""";Summary;428.6;3.3;64.9;410.1;3.1;63.7;-18.5;-4.3;1037.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Adhesive bonding machine operators and tenders;"=""51-9191""";Line Item;12.0;0.1;95.8;11.9;0.1;95.7;-0.1;-0.7;1038.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cleaning, washing, and metal pickling equipment operators and tenders;"=""51-9192""";Line Item;11.6;0.1;73.0;12.1;0.1;73.2;0.6;4.9;1039.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cooling and freezing equipment operators and tenders;"=""51-9193""";Line Item;5.4;0.0;75.9;5.9;0.0;76.0;0.5;9.6;1040.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
