occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Insulation workers, mechanical;"=""47-2132""";21.5;22.6;5.1;1.1
Painters and paperhangers;"=""47-2140""";177.3;180.3;1.7;3.0
Painters, construction and maintenance;"=""47-2141""";176.6;179.6;1.7;3.0
Paperhangers;"=""47-2142""";0.7;0.8;1.3;0.0
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";391.3;411.3;5.1;20.0
Pipelayers;"=""47-2151""";26.6;25.3;-5.1;-1.4
Plumbers, pipefitters, and steamfitters;"=""47-2152""";364.6;386.0;5.9;21.4
Plasterers and stucco masons;"=""47-2161""";21.6;22.3;2.9;0.6
Reinforcing iron and rebar workers;"=""47-2171""";15.0;15.5;3.4;0.5
Roofers;"=""47-2181""";135.9;143.3;5.5;7.4
Sheet metal workers;"=""47-2211""";76.6;77.6;1.3;1.0
Structural iron and steel workers;"=""47-2221""";56.7;59.5;4.9;2.8
Solar photovoltaic installers;"=""47-2231""";17.4;22.0;25.9;4.5
Helpers, construction trades;"=""47-3000""";177.7;179.4;1.0;1.7
Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters;"=""47-3011""";16.3;14.7;-10.1;-1.7
Helpers--carpenters;"=""47-3012""";19.1;18.3;-4.0;-0.8
Helpers--electricians;"=""47-3013""";64.0;64.2;0.2;0.2
Helpers--painters, paperhangers, plasterers, and stucco masons;"=""47-3014""";7.3;7.4;1.7;0.1
Helpers--pipelayers, plumbers, pipefitters, and steamfitters;"=""47-3015""";44.3;46.9;5.9;2.6
Helpers--roofers;"=""47-3016""";4.6;4.8;5.6;0.3
Helpers, construction trades, all other;"=""47-3019""";22.1;23.0;4.2;0.9
Other construction and related workers;"=""47-4000""";84.4;87.5;3.6;3.1
Construction and building inspectors;"=""47-4011""";13.8;13.6;-1.0;-0.1
Elevator and escalator installers and repairers;"=""47-4021""";22.0;23.3;5.9;1.3
Fence erectors;"=""47-4031""";19.0;19.8;4.4;0.8
Hazardous materials removal workers;"=""47-4041""";2.3;2.4;3.9;0.1
Highway maintenance workers;"=""47-4051""";5.8;6.0;3.4;0.2
Rail-track laying and maintenance equipment operators;"=""47-4061""";1.4;1.5;4.8;0.1
Septic tank servicers and sewer pipe cleaners;"=""47-4071""";4.1;4.4;5.4;0.2
Miscellaneous construction and related workers;"=""47-4090""";16.0;16.5;3.0;0.5
Extraction workers;"=""47-5000""";28.1;29.5;5.2;1.5
Derrick, rotary drill, and service unit operators, oil and gas;"=""47-5010""";0.5;0.6;4.4;0.0
Derrick operators, oil and gas;"=""47-5011""";0.1;0.2;6.1;0.0
Rotary drill operators, oil and gas;"=""47-5012""";0.3;0.4;3.3;0.0
Service unit operators, oil and gas;"=""47-5013""";0.1;0.1;6.4;0.0
Surface mining machine operators and earth drillers;"=""47-5020""";21.4;22.5;5.2;1.1
Excavating and loading machine and dragline operators, surface mining;"=""47-5022""";9.3;9.7;4.6;0.4
Earth drillers, except oil and gas;"=""47-5023""";12.1;12.8;5.6;0.7
Explosives workers, ordnance handling experts, and blasters;"=""47-5032""";0.6;0.6;4.9;0.0
Underground mining machine operators;"=""47-5040""";0.2;0.3;4.9;0.0
Loading and moving machine operators, underground mining;"=""47-5044""";0.2;0.2;4.6;0.0
Underground mining machine operators, all other;"=""47-5049""";0.1;0.1;5.7;0.0
Rock splitters, quarry;"=""47-5051""";0.1;0.1;4.4;0.0
Roustabouts, oil and gas;"=""47-5071""";2.6;2.7;5.4;0.1
Helpers--extraction workers;"=""47-5081""";2.2;2.4;6.1;0.1
Extraction workers, all other;"=""47-5099""";0.4;0.4;5.2;0.0
Installation, maintenance, and repair occupations;"=""49-0000""";708.9;762.9;7.6;54.0
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";65.6;68.8;4.9;3.2
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";65.6;68.8;4.9;3.2
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";57.2;58.8;2.8;1.6
Computer, automated teller, and office machine repairers;"=""49-2011""";0.9;1.0;5.5;0.1
Radio and telecommunications equipment installers and repairers;"=""49-2020""";23.9;24.4;1.9;0.5
Radio, cellular, and tower equipment installers and repairers;"=""49-2021""";2.2;2.6;19.5;0.4
Telecommunications equipment installers and repairers, except line installers;"=""49-2022""";21.7;21.8;0.2;0.0
Miscellaneous electrical and electronic equipment mechanics, installers, and repairers;"=""49-2090""";32.4;33.5;3.3;1.1
Electric motor, power tool, and related repairers;"=""49-2092""";1.2;1.2;1.6;0.0
Electrical and electronics installers and repairers, transportation equipment;"=""49-2093""";0.1;0.1;0.0;0.0
Electrical and electronics repairers, commercial and industrial equipment;"=""49-2094""";2.7;2.7;-0.6;0.0
Electrical and electronics repairers, powerhouse, substation, and relay;"=""49-2095""";1.7;1.8;5.5;0.1
Electronic equipment installers and repairers, motor vehicles;"=""49-2096""";0.1;0.1;4.4;0.0
Audiovisual equipment installers and repairers;"=""49-2097""";6.2;6.7;9.2;0.6
Security and fire alarm systems installers;"=""49-2098""";20.3;20.7;2.0;0.4
Vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3000""";55.2;57.7;4.6;2.5
Aircraft mechanics and service technicians;"=""49-3011""";0.1;0.1;3.7;0.0
Automotive technicians and repairers;"=""49-3020""";3.8;4.0;4.0;0.2
Automotive body and related repairers;"=""49-3021""";0.1;0.1;1.9;0.0
Automotive glass installers and repairers;"=""49-3022""";0.9;0.9;4.0;0.0
Automotive service technicians and mechanics;"=""49-3023""";2.8;2.9;4.1;0.1
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";9.6;10.1;4.5;0.4
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";41.2;43.1;4.7;1.9
Farm equipment mechanics and service technicians;"=""49-3041""";0.2;0.2;6.0;0.0
Mobile heavy equipment mechanics, except engines;"=""49-3042""";41.0;42.9;4.7;1.9
Small engine mechanics;"=""49-3050""";0.5;0.5;4.6;0.0
Outdoor power equipment and other small engine mechanics;"=""49-3053""";0.4;0.5;4.5;0.0
Other installation, maintenance, and repair occupations;"=""49-9000""";530.9;577.6;8.8;46.7
Control and valve installers and repairers;"=""49-9010""";23.0;25.9;12.8;2.9
Mechanical door repairers;"=""49-9011""";19.5;22.3;14.2;2.8
Control and valve installers and repairers, except mechanical door;"=""49-9012""";3.5;3.7;5.1;0.2
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";304.0;337.6;11.1;33.6
Home appliance repairers;"=""49-9031""";1.7;1.8;5.5;0.1
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";25.6;26.9;5.2;1.3
Industrial machinery mechanics;"=""49-9041""";7.1;7.5;5.5;0.4
Maintenance workers, machinery;"=""49-9043""";2.3;2.4;4.8;0.1
Millwrights;"=""49-9044""";16.1;17.0;5.4;0.9
Refractory materials repairers, except brickmasons;"=""49-9045""";0.2;0.1;-16.4;0.0
Line installers and repairers;"=""49-9050""";72.7;76.0;4.4;3.2
Electrical power-line installers and repairers;"=""49-9051""";43.0;45.3;5.3;2.3
Telecommunications line installers and repairers;"=""49-9052""";29.8;30.7;3.1;0.9
Precision instrument and equipment repairers;"=""49-9060""";0.1;0.1;-3.2;0.0
Precision instrument and equipment repairers, all other;"=""49-9069""";0.1;0.1;0.0;0.0
Maintenance and repair workers, general;"=""49-9071""";33.6;35.0;4.3;1.4
Wind turbine service technicians;"=""49-9081""";1.6;2.5;52.8;0.9
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";68.6;71.8;4.6;3.1
Commercial divers;"=""49-9092""";0.7;0.8;19.0;0.1
Locksmiths and safe repairers;"=""49-9094""";0.1;0.1;-17.1;0.0
Manufactured building and mobile home installers;"=""49-9095""";0.5;0.4;-21.5;-0.1
Riggers;"=""49-9096""";7.1;7.5;5.1;0.4
Signal and track switch repairers;"=""49-9097""";0.3;0.3;3.8;0.0
Helpers--installation, maintenance, and repair workers;"=""49-9098""";36.4;38.3;5.4;2.0
Installation, maintenance, and repair workers, all other;"=""49-9099""";23.2;24.0;3.3;0.8
Production occupations;"=""51-0000""";128.2;130.8;2.0;2.6
Supervisors of production workers;"=""51-1000""";9.7;10.1;4.1;0.4
First-line supervisors of production and operating workers;"=""51-1011""";9.7;10.1;4.1;0.4
Assemblers and fabricators;"=""51-2000""";16.0;16.1;0.9;0.1
Electrical, electronics, and electromechanical assemblers;"=""51-2020""";0.6;0.6;1.3;0.0
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;"=""51-2028""";0.6;0.6;1.3;0.0
Structural metal fabricators and fitters;"=""51-2041""";3.9;3.8;-3.2;-0.1
Fiberglass laminators and fabricators;"=""51-2051""";0.1;0.1;-0.2;0.0
Miscellaneous assemblers and fabricators;"=""51-2090""";11.4;11.6;2.3;0.3
Metal workers and plastic workers;"=""51-4000""";64.5;67.4;4.4;2.8
Forming machine setters, operators, and tenders, metal and plastic;"=""51-4020""";0.3;0.3;-3.7;0.0
Extruding and drawing machine setters, operators, and tenders, metal and plastic;"=""51-4021""";0.1;0.1;-0.6;0.0
Rolling machine setters, operators, and tenders, metal and plastic;"=""51-4023""";0.1;0.1;-5.9;0.0
Machine tool cutting setters, operators, and tenders, metal and plastic;"=""51-4030""";1.5;1.4;-9.8;-0.1
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;"=""51-4031""";0.5;0.5;-5.6;0.0
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;"=""51-4032""";0.4;0.3;-15.5;-0.1
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;"=""51-4033""";0.1;0.1;-7.0;0.0
Lathe and turning machine tool setters, operators, and tenders, metal and plastic;"=""51-4034""";0.1;0.1;-6.3;0.0
Milling and planing machine setters, operators, and tenders, metal and plastic;"=""51-4035""";0.3;0.3;-12.0;0.0
Machinists;"=""51-4041""";1.5;1.5;4.4;0.1
Molders and molding machine setters, operators, and tenders, metal and plastic;"=""51-4070""";0.1;0.1;-3.8;0.0
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;"=""51-4072""";0.1;0.1;-3.8;0.0
Multiple machine tool setters, operators, and tenders, metal and plastic;"=""51-4081""";0.2;0.2;2.4;0.0
Tool and die makers;"=""51-4111""";0.1;0.1;4.8;0.0
Welding, soldering, and brazing workers;"=""51-4120""";60.4;63.4;4.9;2.9
Welders, cutters, solderers, and brazers;"=""51-4121""";59.9;62.9;4.9;3.0
Welding, soldering, and brazing machine setters, operators, and tenders;"=""51-4122""";0.5;0.5;-5.6;0.0
Miscellaneous metal workers and plastic workers;"=""51-4190""";0.5;0.5;-0.2;0.0
Heat treating equipment setters, operators, and tenders, metal and plastic;"=""51-4191""";0.1;0.1;-4.7;0.0
Layout workers, metal and plastic;"=""51-4192""";0.3;0.3;4.4;0.0
Metal workers and plastic workers, all other;"=""51-4199""";0.1;0.1;-5.7;0.0
Textile, apparel, and furnishings workers;"=""51-6000""";0.7;0.7;2.7;0.0
Laundry and dry-cleaning workers;"=""51-6011""";0.1;0.1;3.6;0.0
Sewing machine operators;"=""51-6031""";0.1;0.1;3.3;0.0
Miscellaneous textile, apparel, and furnishings workers;"=""51-6090""";0.4;0.4;2.1;0.0
Upholsterers;"=""51-6093""";0.1;0.1;3.4;0.0
Textile, apparel, and furnishings workers, all other;"=""51-6099""";0.2;0.2;0.6;0.0
Woodworkers;"=""51-7000""";8.8;8.9;1.0;0.1
Cabinetmakers and bench carpenters;"=""51-7011""";7.7;7.7;0.9;0.1
Furniture finishers;"=""51-7021""";0.2;0.2;0.5;0.0
Woodworking machine setters, operators, and tenders;"=""51-7040""";0.9;0.9;1.8;0.0
Sawing machine setters, operators, and tenders, wood;"=""51-7041""";0.2;0.3;2.7;0.0
Woodworking machine setters, operators, and tenders, except sawing;"=""51-7042""";0.6;0.7;1.4;0.0
Plant and system operators;"=""51-8000""";3.4;3.4;0.9;0.0
Stationary engineers and boiler operators;"=""51-8021""";0.4;0.4;4.2;0.0
Water and wastewater treatment plant and system operators;"=""51-8031""";1.1;1.0;-4.7;-0.1
Miscellaneous plant and system operators;"=""51-8090""";1.9;1.9;3.6;0.1
Petroleum pump system operators, refinery operators, and gaugers;"=""51-8093""";0.2;0.2;6.2;0.0
Plant and system operators, all other;"=""51-8099""";1.6;1.7;3.3;0.1
Other production occupations;"=""51-9000""";25.1;24.2;-3.7;-0.9
Chemical processing machine setters, operators, and tenders;"=""51-9010""";0.3;0.3;5.7;0.0
Chemical equipment operators and tenders;"=""51-9011""";0.1;0.1;5.7;0.0
Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders;"=""51-9012""";0.2;0.2;5.7;0.0
Crushing, grinding, polishing, mixing, and blending workers;"=""51-9020""";2.3;2.2;-3.2;-0.1
Crushing, grinding, and polishing machine setters, operators, and tenders;"=""51-9021""";1.1;1.1;-2.5;0.0
Grinding and polishing workers, hand;"=""51-9022""";0.4;0.3;-18.4;-0.1
Mixing and blending machine setters, operators, and tenders;"=""51-9023""";0.7;0.8;3.7;0.0
Cutting workers;"=""51-9030""";1.3;1.3;1.0;0.0
Cutters and trimmers, hand;"=""51-9031""";0.1;0.1;-13.6;0.0
Cutting and slicing machine setters, operators, and tenders;"=""51-9032""";1.3;1.3;1.7;0.0
Extruding, forming, pressing, and compacting machine setters, operators, and tenders;"=""51-9041""";0.2;0.2;3.6;0.0
Inspectors, testers, sorters, samplers, and weighers;"=""51-9061""";6.6;5.8;-11.2;-0.7
Packaging and filling machine operators and tenders;"=""51-9111""";0.1;0.1;4.3;0.0
Painting workers;"=""51-9120""";1.8;1.9;3.4;0.1
Painting, coating, and decorating workers;"=""51-9123""";0.5;0.5;2.4;0.0
Coating, painting, and spraying machine setters, operators, and tenders;"=""51-9124""";1.3;1.4;3.8;0.0
Computer numerically controlled tool operators and programmers;"=""51-9160""";1.7;1.7;-0.4;0.0
Computer numerically controlled tool operators;"=""51-9161""";1.2;1.2;-7.0;-0.1
Computer numerically controlled tool programmers;"=""51-9162""";0.5;0.6;16.7;0.1
Miscellaneous production workers;"=""51-9190""";10.9;10.7;-2.1;-0.2
Molders, shapers, and casters, except metal and plastic;"=""51-9195""";3.9;3.9;1.2;0.0
Helpers--production workers;"=""51-9198""";5.7;5.4;-5.6;-0.3
Production workers, all other;"=""51-9199""";1.3;1.3;3.7;0.0
Transportation and material moving occupations;"=""53-0000""";246.9;261.8;6.0;14.9
Supervisors of transportation and material moving workers;"=""53-1000""";9.5;9.8;4.0;0.4
First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors;"=""53-1047""";9.5;9.8;4.0;0.4
Air transportation workers;"=""53-2000""";0.4;0.4;4.6;0.0
Aircraft pilots and flight engineers;"=""53-2010""";0.4;0.4;4.6;0.0
Commercial pilots;"=""53-2012""";0.3;0.4;4.7;0.0
Motor vehicle operators;"=""53-3000""";148.0;158.9;7.3;10.9
Driver/sales workers and truck drivers;"=""53-3030""";147.1;157.9;7.4;10.8
Driver/sales workers;"=""53-3031""";0.6;0.6;2.6;0.0
Heavy and tractor-trailer truck drivers;"=""53-3032""";127.7;137.7;7.9;10.1
Light truck drivers;"=""53-3033""";18.9;19.6;4.0;0.7
Passenger vehicle drivers;"=""53-3050""";0.2;0.2;4.6;0.0
Bus drivers, transit and intercity;"=""53-3052""";0.1;0.1;4.8;0.0
Shuttle drivers and chauffeurs;"=""53-3053""";0.2;0.2;4.5;0.0
Motor vehicle operators, all other;"=""53-3099""";0.7;0.7;4.1;0.0
Water transportation workers;"=""53-5000""";1.9;2.0;4.9;0.1
Sailors and marine oilers;"=""53-5011""";0.5;0.6;5.0;0.0
Ship and boat captains and operators;"=""53-5020""";1.2;1.3;4.8;0.1
Captains, mates, and pilots of water vessels;"=""53-5021""";1.1;1.1;4.8;0.1
Motorboat operators;"=""53-5022""";0.1;0.1;4.8;0.0
Ship engineers;"=""53-5031""";0.2;0.2;5.0;0.0
Other transportation workers;"=""53-6000""";1.0;1.0;3.1;0.0
Transportation service attendants;"=""53-6030""";0.2;0.2;4.4;0.0
Automotive and watercraft service attendants;"=""53-6031""";0.2;0.2;4.4;0.0
Traffic technicians;"=""53-6041""";0.2;0.2;4.5;0.0
Transportation workers, all other;"=""53-6099""";0.1;0.1;5.2;0.0
Material moving workers;"=""53-7000""";86.1;89.6;4.1;3.5
Crane and tower operators;"=""53-7021""";17.7;18.5;4.8;0.8
Dredge operators;"=""53-7031""";0.2;0.2;-0.5;0.0
Hoist and winch operators;"=""53-7041""";0.2;0.2;1.8;0.0
Industrial truck and tractor operators;"=""53-7051""";8.5;8.9;4.3;0.4
Cleaners of vehicles and equipment;"=""53-7061""";1.0;1.0;4.5;0.0
Laborers and freight, stock, and material movers, hand;"=""53-7062""";41.3;42.9;3.8;1.6
Stockers and order fillers;"=""53-7065""";14.0;14.5;3.6;0.5
Pumping station operators;"=""53-7070""";2.2;2.4;6.5;0.1
Pump operators, except wellhead pumpers;"=""53-7072""";2.2;2.3;6.5;0.1
Tank car, truck, and ship loaders;"=""53-7121""";0.1;0.1;3.8;0.0
Material moving workers, all other;"=""53-7199""";0.7;0.8;4.9;0.0
Total, all occupations;"=""00-0000""";1149.2;1185.1;3.1;35.9
Management occupations;"=""11-0000""";121.1;133.5;10.2;12.4
Top executives;"=""11-1000""";36.2;38.1;5.3;1.9
Chief executives;"=""11-1011""";1.6;1.7;5.3;0.1
General and operations managers;"=""11-1021""";34.6;36.4;5.3;1.8
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";8.4;8.8;5.2;0.4
Marketing and sales managers;"=""11-2020""";7.9;8.3;5.3;0.4
Marketing managers;"=""11-2021""";4.1;4.3;5.3;0.2
Sales managers;"=""11-2022""";3.7;3.9;5.3;0.2
Public relations and fundraising managers;"=""11-2030""";0.5;0.5;5.3;0.0
Public relations managers;"=""11-2032""";0.5;0.5;5.3;0.0
Operations specialties managers;"=""11-3000""";67.9;77.4;13.9;9.5
Administrative services and facilities managers;"=""11-3010""";4.2;4.4;5.3;0.2
Administrative services managers;"=""11-3012""";3.9;4.1;5.3;0.2
Facilities managers;"=""11-3013""";0.3;0.3;5.3;0.0
Computer and information systems managers;"=""11-3021""";8.1;9.1;12.7;1.0
Financial managers;"=""11-3031""";49.9;57.8;15.8;7.9
Industrial production managers;"=""11-3051""";0.1;0.1;5.3;0.0
Purchasing managers;"=""11-3061""";0.3;0.3;5.3;0.0
Transportation, storage, and distribution managers;"=""11-3071""";0.1;0.1;5.3;0.0
Compensation and benefits managers;"=""11-3111""";0.4;0.4;11.6;0.0
Human resources managers;"=""11-3121""";4.4;4.6;5.3;0.2
Training and development managers;"=""11-3131""";0.5;0.6;5.3;0.0
Other management occupations;"=""11-9000""";8.6;9.1;6.2;0.5
Architectural and engineering managers;"=""11-9041""";0.1;0.1;5.3;0.0
Medical and health services managers;"=""11-9111""";0.3;0.4;26.3;0.1
Property, real estate, and community association managers;"=""11-9141""";0.6;0.7;5.3;0.0
Managers, all other;"=""11-9199""";7.2;7.6;5.3;0.4
Business and financial operations occupations;"=""13-0000""";543.7;573.8;5.5;30.1
Business operations specialists;"=""13-1000""";81.1;86.7;6.9;5.6
Buyers and purchasing agents;"=""13-1020""";1.0;1.1;10.6;0.1
Claims adjusters, appraisers, examiners, and investigators;"=""13-1030""";0.8;0.8;-5.2;0.0
Claims adjusters, examiners, and investigators;"=""13-1031""";0.8;0.8;-5.2;0.0
Compliance officers;"=""13-1041""";2.2;2.3;5.3;0.1
Cost estimators;"=""13-1051""";0.1;0.1;-3.1;0.0
Human resources workers;"=""13-1070""";14.3;16.2;13.6;1.9
Human resources specialists;"=""13-1071""";14.1;16.1;13.7;1.9
Labor relations specialists;"=""13-1075""";0.1;0.2;3.2;0.0
Logisticians and project management specialists;"=""13-1080""";6.1;6.5;5.8;0.4
Logisticians;"=""13-1081""";0.3;0.3;17.9;0.0
Project management specialists;"=""13-1082""";5.8;6.2;5.3;0.3
Management analysts;"=""13-1111""";35.8;37.7;5.3;1.9
Fundraisers;"=""13-1131""";0.2;0.2;5.3;0.0
Compensation, benefits, and job analysis specialists;"=""13-1141""";2.5;2.6;5.3;0.1
Training and development specialists;"=""13-1151""";2.7;3.0;10.6;0.3
Market research analysts and marketing specialists;"=""13-1161""";6.4;6.8;5.3;0.3
Business operations specialists, all other;"=""13-1199""";8.4;8.8;5.3;0.4
Financial specialists;"=""13-2000""";462.6;487.1;5.3;24.4
Accountants and auditors;"=""13-2011""";364.7;384.0;5.3;19.3
Budget analysts;"=""13-2031""";0.2;0.2;5.3;0.0
Credit analysts;"=""13-2041""";0.2;0.2;-5.2;0.0
